source,sigma,seed_count,min_cu_count,max_cu_count,cu_count_range,relative_cu_count_range_percent
kodim01.png,5,3,5473,5548,75,1.3614086041023779
kodim01.png,15,3,5272,5410,138,2.5920360631104433
kodim01.png,30,3,3485,3605,120,3.369839932603201
kodim02.png,5,3,2982,3089,107,3.517422748191979
kodim02.png,15,3,3399,3453,54,1.5761821366024518
kodim02.png,30,3,2448,2772,324,12.292905020867586
kodim03.png,5,3,2534,2617,83,3.219133807369101
kodim03.png,15,3,3503,3751,248,6.773488710852148
kodim03.png,30,3,2832,2955,123,4.24040450471156
kodim04.png,5,3,2465,2593,128,5.053296486379787
kodim04.png,15,3,3280,3348,68,2.056451612903226
kodim04.png,30,3,2832,2951,119,4.105335786568538
kodim05.png,5,3,8304,8489,185,2.200459915946396
kodim05.png,15,3,7587,7668,81,1.063410791650256
kodim05.png,30,3,5210,5480,270,5.011755970795694
kodim06.png,5,3,3523,3633,110,3.0643513789581207
kodim06.png,15,3,3931,4038,107,2.6774543331387104
kodim06.png,30,3,3421,3493,72,2.085747392815759
kodim07.png,5,3,4400,4523,123,2.7636309167165964
kodim07.png,15,3,4114,4548,434,9.954889517547212
kodim07.png,30,3,2914,3278,364,11.811790156841537
kodim08.png,5,3,6845,6913,68,0.9877021400213033
kodim08.png,15,3,6309,6476,167,2.6073380171740825
kodim08.png,30,3,4552,4944,392,8.295711060948081
kodim09.png,5,3,2446,2493,47,1.9043760129659644
kodim09.png,15,3,3542,3695,153,4.199066874027994
kodim09.png,30,3,2842,2942,100,3.466204506065858
kodim10.png,5,3,3284,3363,79,2.3850256616685117
kodim10.png,15,3,3796,3970,174,4.4543049748272034
kodim10.png,30,3,3081,3113,32,1.0338143441740253
kodim11.png,5,3,4246,4464,218,5.040462427745664
kodim11.png,15,3,4288,4580,292,6.561306269193319
kodim11.png,30,3,3366,3530,164,4.757760371337395
kodim12.png,5,3,2457,2488,31,1.2557385903321632
kodim12.png,15,3,3580,3712,132,3.6098450319051962
kodim12.png,30,3,2990,3125,135,4.434954007884363
kodim13.png,5,3,6383,6628,245,3.755556691022431
kodim13.png,15,3,5780,5817,37,0.6387753927605456
kodim13.png,30,3,4192,4452,260,5.959202383680953
kodim14.png,5,3,5928,6056,128,2.1294293794709698
kodim14.png,15,3,5168,5281,113,2.1595107657026373
kodim14.png,30,3,3729,3938,209,5.452173913043478
kodim15.png,5,3,2267,2309,42,1.8394160583941606
kodim15.png,15,3,3496,3798,302,8.216941773988754
kodim15.png,30,3,3178,3326,148,4.563675609004009
kodim16.png,5,3,2602,2694,92,3.462551750094091
kodim16.png,15,3,3289,3425,136,4.068202213580617
kodim16.png,30,3,2742,2797,55,1.9867549668874172
kodim17.png,5,3,4056,4166,110,2.683581361307636
kodim17.png,15,3,4299,4483,184,4.196761195164601
kodim17.png,30,3,3463,3559,96,2.7342637425234977
kodim18.png,5,3,4496,4543,47,1.0413589364844904
kodim18.png,15,3,4696,4936,240,4.96860120074529
kodim18.png,30,3,3611,3712,101,2.7608200455580865
kodim19.png,5,3,2921,3170,249,8.157693567762367
kodim19.png,15,3,3934,4107,173,4.31493182573994
kodim19.png,30,3,2958,3156,198,6.526755301615207
kodim20.png,5,3,2686,2750,64,2.363367799113737
kodim20.png,15,3,3446,3571,125,3.576879053796261
kodim20.png,30,3,3772,3861,89,2.33718487394958
kodim21.png,5,3,3674,3967,293,7.593952483801296
kodim21.png,15,3,4263,4410,147,3.402515238021758
kodim21.png,30,3,3267,3433,166,4.951282561145357
kodim22.png,5,3,3615,3649,34,0.93689721686415
kodim22.png,15,3,3920,4025,105,2.6406236901668203
kodim22.png,30,3,3232,3326,94,2.876376988984088
kodim23.png,5,3,1962,2015,53,2.661533311014396
kodim23.png,15,3,3130,3277,147,4.592793168089981
kodim23.png,30,3,2700,2771,71,2.5972442385074994
kodim24.png,5,3,5415,5505,90,1.6502658761689382
kodim24.png,15,3,4898,5169,271,5.368108286563222
kodim24.png,30,3,3913,4053,140,3.514644351464435
