image,qp,scaling_list_0_mode,scaling_list_1_mode,bpp_sl0,bpp_sl1,bpp_delta,bpp_delta_pct,bitstream_bytes_sl0,bitstream_bytes_sl1,bitstream_bytes_delta,bitstream_bytes_delta_pct,psnr_y_sl0,psnr_y_sl1,psnr_y_delta,psnr_rgb_sl0,psnr_rgb_sl1,psnr_rgb_delta,msssim_luma_sl0,msssim_luma_sl1,msssim_luma_delta,msssim_rgb_sl0,msssim_rgb_sl1,msssim_rgb_delta,psnr_hvs_m_luma_sl0,psnr_hvs_m_luma_sl1,psnr_hvs_m_luma_delta,haarpsi_luma_sl0,haarpsi_luma_sl1,haarpsi_luma_delta
baboon,22,paired --ScalingList=0,paired --ScalingList=1,6.575633333333333,6.575633333333333,0.0,0.0,197269.0,197269.0,0.0,0.0,41.4328,41.4328,0.0,36.657363450243466,36.657363450243466,0.0,0.9985008074546909,0.9985008074546909,0.0,0.9963625370090488,0.9963625370090488,0.0,50.03492540770108,50.03492540770108,0.0,0.9876766047610731,0.9876766047610731,0.0
baboon,27,paired --ScalingList=0,paired --ScalingList=1,4.078833333333334,4.078833333333334,0.0,0.0,122365.0,122365.0,0.0,0.0,36.4084,36.4084,0.0,31.77206692011429,31.77206692011429,0.0,0.9948916761725096,0.9948916761725096,0.0,0.9887898902399505,0.9887898902399505,0.0,44.06611849009622,44.06611849009622,0.0,0.9631824964077066,0.9631824964077066,0.0
baboon,32,paired --ScalingList=0,paired --ScalingList=1,1.7875,1.7875,0.0,0.0,53625.0,53625.0,0.0,0.0,31.2404,31.2404,0.0,27.43042100216321,27.43042100216321,0.0,0.9830578707824825,0.9830578707824825,0.0,0.9694493434006914,0.9694493434006914,0.0,36.92478210807266,36.92478210807266,0.0,0.8964911684601915,0.8964911684601915,0.0
baboon,37,paired --ScalingList=0,paired --ScalingList=1,0.7008,0.7008333333333333,3.333333333332966e-05,0.004756468797564165,21024.0,21025.0,1.0,0.004756468797564688,27.3295,27.3295,0.0,24.60731175095741,24.60731175095741,0.0,0.9607410476770344,0.9607410476770344,0.0,0.9397315182823056,0.9397315182823056,0.0,30.673210232231334,30.673210232231334,0.0,0.7787267973613204,0.7787267973613204,0.0
goldhill,22,paired --ScalingList=0,paired --ScalingList=1,2.1323302469135803,2.1323302469135803,0.0,0.0,110540.0,110540.0,0.0,0.0,41.696,41.696,0.0,38.03817580097008,38.03817580097008,0.0,0.996730202966841,0.996730202966841,0.0,0.9919067616591787,0.9919067616591787,0.0,47.813775808081154,47.813775808081154,0.0,0.9851978343065814,0.9851978343065814,0.0
goldhill,27,paired --ScalingList=0,paired --ScalingList=1,0.7558256172839506,0.7558256172839506,0.0,0.0,39182.0,39182.0,0.0,0.0,36.6936,36.6936,0.0,33.97644699708015,33.97644699708015,0.0,0.9888500176995355,0.9888500176995355,0.0,0.9789936502872635,0.9789936502872635,0.0,40.368513761330284,40.368513761330284,0.0,0.9444641331223335,0.9444641331223335,0.0
goldhill,32,paired --ScalingList=0,paired --ScalingList=1,0.3314814814814815,0.3314814814814815,0.0,0.0,17184.0,17184.0,0.0,0.0,33.6546,33.6546,0.0,31.6515699229722,31.6515699229722,0.0,0.9740976761222948,0.9740976761222948,0.0,0.9619847807297321,0.9619847807297321,0.0,34.52153319603411,34.52153319603411,0.0,0.868915122376401,0.868915122376401,0.0
goldhill,37,paired --ScalingList=0,paired --ScalingList=1,0.14922839506172839,0.1492476851851852,1.9290123456805475e-05,0.01292657704240946,7736.0,7737.0,1.0,0.012926577042399174,31.1343,31.1343,0.0,29.53073403023754,29.53073403023754,0.0,0.9475752897008269,0.9475752897008269,0.0,0.9323186268691238,0.9323186268691238,0.0,29.81675047554859,29.81675047554859,0.0,0.7563223165886201,0.7563223165886201,0.0
peppers,22,paired --ScalingList=0,paired --ScalingList=1,2.349639892578125,2.349639892578125,0.0,0.0,76993.0,76993.0,0.0,0.0,41.2938,41.2938,0.0,36.78351389738459,36.78351389738459,0.0,0.995557707243146,0.995557707243146,0.0,0.9892697003783769,0.9892697003783769,0.0,46.00637532851329,46.00637532851329,0.0,0.9836488977552516,0.9836488977552516,0.0
peppers,27,paired --ScalingList=0,paired --ScalingList=1,0.80645751953125,0.80645751953125,0.0,0.0,26426.0,26426.0,0.0,0.0,37.0078,37.0078,0.0,33.551991373859614,33.551991373859614,0.0,0.9881700220186522,0.9881700220186522,0.0,0.9779357310317861,0.9779357310317861,0.0,40.58359021267048,40.58359021267048,0.0,0.9550716267810072,0.9550716267810072,0.0
peppers,32,paired --ScalingList=0,paired --ScalingList=1,0.337188720703125,0.337188720703125,0.0,0.0,11049.0,11049.0,0.0,0.0,34.9139,34.9139,0.0,31.868853644576443,31.868853644576443,0.0,0.9805845867691133,0.9805845867691133,0.0,0.9666636290745503,0.9666636290745503,0.0,36.58049933716872,36.58049933716872,0.0,0.9146693273127158,0.9146693273127158,0.0
peppers,37,paired --ScalingList=0,paired --ScalingList=1,0.18548583984375,0.18548583984375,0.0,0.0,6078.0,6078.0,0.0,0.0,33.2593,33.2593,0.0,30.468313952325605,30.468313952325605,0.0,0.9723110809284763,0.9723110809284763,0.0,0.953457779718081,0.953457779718081,0.0,33.064469348281406,33.064469348281406,0.0,0.8579132535273329,0.8579132535273329,0.0
