image,qp,scaling_list_0_mode,scaling_list_1_mode,bpp_sl0,bpp_sl1,bpp_delta,bpp_delta_pct,bitstream_bytes_sl0,bitstream_bytes_sl1,bitstream_bytes_delta,bitstream_bytes_delta_pct,psnr_y_sl0,psnr_y_sl1,psnr_y_delta,psnr_rgb_sl0,psnr_rgb_sl1,psnr_rgb_delta,msssim_luma_sl0,msssim_luma_sl1,msssim_luma_delta,msssim_rgb_sl0,msssim_rgb_sl1,msssim_rgb_delta,psnr_hvs_m_luma_sl0,psnr_hvs_m_luma_sl1,psnr_hvs_m_luma_delta,haarpsi_luma_sl0,haarpsi_luma_sl1,haarpsi_luma_delta
baboon,22,paired --ScalingList=0,paired --ScalingList=1,2.833831787109375,2.833831787109375,0.0,0.0,92859.0,92859.0,0.0,0.0,41.8027,41.8027,0.0,41.21565469442197,41.21565469442197,0.0,0.9985621238248695,0.9985621238248695,0.0,0.9985593551207209,0.9985593551207209,0.0,49.61385662466323,49.61385662466323,0.0,0.9889299803352961,0.9889299803352961,0.0
baboon,27,paired --ScalingList=0,paired --ScalingList=1,1.96990966796875,1.96990966796875,0.0,0.0,64550.0,64550.0,0.0,0.0,36.8709,36.8709,0.0,36.67000492738908,36.67000492738908,0.0,0.9952153980030213,0.9952153980030213,0.0,0.9953003668669148,0.9953003668669148,0.0,44.498583080596234,44.498583080596234,0.0,0.9669432476538038,0.9669432476538038,0.0
baboon,32,paired --ScalingList=0,paired --ScalingList=1,1.196624755859375,1.196624755859375,0.0,0.0,39211.0,39211.0,0.0,0.0,32.273,32.273,0.0,32.203957485179664,32.203957485179664,0.0,0.9858974082808516,0.9858974082808516,0.0,0.9864100356435723,0.9864100356435723,0.0,37.6982526491165,37.6982526491165,0.0,0.90846998158846,0.90846998158846,0.0
baboon,37,paired --ScalingList=0,paired --ScalingList=1,0.630584716796875,0.630584716796875,0.0,0.0,20663.0,20663.0,0.0,0.0,28.3356,28.3356,0.0,28.306195566183312,28.306195566183312,0.0,0.9662851626550838,0.9662851626550838,0.0,0.9667473107082465,0.9667473107082465,0.0,31.43753605506593,31.43753605506593,0.0,0.8009205738136209,0.8009205738136209,0.0
goldhill,22,paired --ScalingList=0,paired --ScalingList=1,1.525787353515625,1.525787353515625,0.0,0.0,49997.0,49997.0,0.0,0.0,41.7635,41.7635,0.0,41.22206720342153,41.22206720342153,0.0,0.9973571898758954,0.9973571898758954,0.0,0.9973099922967599,0.9973099922967599,0.0,48.183070943586344,48.183070943586344,0.0,0.984192953273819,0.984192953273819,0.0
goldhill,27,paired --ScalingList=0,paired --ScalingList=1,0.8197021484375,0.8197021484375,0.0,0.0,26860.0,26860.0,0.0,0.0,37.4538,37.4538,0.0,37.24644926049192,37.24644926049192,0.0,0.9925167374286258,0.9925167374286258,0.0,0.992639830691998,0.992639830691998,0.0,42.538478617140754,42.538478617140754,0.0,0.9564049670968027,0.9564049670968027,0.0
goldhill,32,paired --ScalingList=0,paired --ScalingList=1,0.40106201171875,0.40106201171875,0.0,0.0,13142.0,13142.0,0.0,0.0,34.1129,34.1129,0.0,34.01495777476599,34.01495777476599,0.0,0.9815721878747135,0.9815721878747135,0.0,0.9820358292080344,0.9820358292080344,0.0,36.34419555394437,36.34419555394437,0.0,0.8955744603851808,0.8955744603851808,0.0
goldhill,37,paired --ScalingList=0,paired --ScalingList=1,0.1859130859375,0.1859130859375,0.0,0.0,6092.0,6092.0,0.0,0.0,31.3488,31.3488,0.0,31.29597686900146,31.29597686900146,0.0,0.9604683222535798,0.9604683222535798,0.0,0.9606855207847311,0.9606855207847311,0.0,30.994470341181906,30.994470341181906,0.0,0.7915491969419775,0.7915491969419775,0.0
peppers,22,paired --ScalingList=0,paired --ScalingList=1,1.18609619140625,1.18609619140625,0.0,0.0,38866.0,38866.0,0.0,0.0,41.2843,41.2843,0.0,40.75488607516752,40.75488607516752,0.0,0.995533494629908,0.995533494629908,0.0,0.995738046225711,0.995738046225711,0.0,46.02439022005561,46.02439022005561,0.0,0.984003329348169,0.984003329348169,0.0
peppers,27,paired --ScalingList=0,paired --ScalingList=1,0.457916259765625,0.457916259765625,0.0,0.0,15005.0,15005.0,0.0,0.0,37.0292,37.0292,0.0,36.81883488077875,36.81883488077875,0.0,0.9882012752413206,0.9882012752413206,0.0,0.9885789318644819,0.9885789318644819,0.0,40.55083432687379,40.55083432687379,0.0,0.9557882885456378,0.9557882885456378,0.0
peppers,32,paired --ScalingList=0,paired --ScalingList=1,0.202117919921875,0.202117919921875,0.0,0.0,6623.0,6623.0,0.0,0.0,34.8814,34.8814,0.0,34.741537836364444,34.741537836364444,0.0,0.9804276318727148,0.9804276318727148,0.0,0.9810408981569939,0.9810408981569939,0.0,36.50006822300973,36.50006822300973,0.0,0.9121443166411001,0.9121443166411001,0.0
peppers,37,paired --ScalingList=0,paired --ScalingList=1,0.116455078125,0.116455078125,0.0,0.0,3816.0,3816.0,0.0,0.0,33.2393,33.2393,0.0,33.15082381871939,33.15082381871939,0.0,0.9720019501150077,0.9720019501150077,0.0,0.9725082847156513,0.9725082847156513,0.0,33.00962249227041,33.00962249227041,0.0,0.8567605487496629,0.8567605487496629,0.0
